Slant cell length,Cell thickness,Cell angle,Vertical cell length,Poisson's ratio
4,2,70,25,0.05831538
4,2.2,70,25,0.06837752
4,2.4,70,25,0.07677212
4,2.6,70,25,0.08818015
4,2.8,70,25,0.10119601
4,3,70,25,0.11464368
4,3.2,70,25,0.12747032
4,3.4,70,25,0.14226273
6,2,70,25,0.04752656
6,2.2,70,25,0.05522208
6,2.4,70,25,0.06177054
6,2.6,70,25,0.07065265
6,2.8,70,25,0.08318996
6,3,70,25,0.09483913
6,3.2,70,25,0.10798771
6,3.4,70,25,0.12194207
8,2,70,25,0.02213625
8,2.2,70,25,0.02436387
8,2.4,70,25,0.02806995
8,2.6,70,25,0.03721975
8,2.8,70,25,0.04602473
8,3,70,25,0.0564566
8,3.2,70,25,0.06809954
8,3.4,70,25,0.08140851
10,2,70,25,-0.01926288
10,2.2,70,25,-0.02231021
10,2.4,70,25,-0.0232427
10,2.6,70,25,-0.01896186
10,2.8,70,25,-0.01117967
10,3,70,25,-0.00317207
10,3.2,70,25,0.0066291
10,3.4,70,25,0.01903232
12,2,70,25,-0.08214425
12,2.2,70,25,-0.09210242
12,2.4,70,25,-0.09602146
12,2.6,70,25,-0.09655062
12,2.8,70,25,-0.09334721
12,3,70,25,-0.08832497
12,3.2,70,25,-0.08040424
12,3.4,70,25,-0.06897318
14,2,70,25,-0.17129366
14,2.2,70,25,-0.18466352
14,2.4,70,25,-0.1985141
14,2.6,70,25,-0.20113654
14,2.8,70,25,-0.20196442
14,3,70,25,-0.20011732
14,3.2,70,25,-0.19653833
14,3.4,70,25,-0.18740094
16,2,70,25,-0.29700696
16,2.2,70,25,-0.312622
16,2.4,70,25,-0.33331431
16,2.6,70,25,-0.34443779
16,2.8,70,25,-0.34759713
16,3,70,25,-0.3491959
16,3.2,70,25,-0.34837795
16,3.4,70,25,-0.34160303
18,2,70,25,-0.44937
18,2.2,70,25,-0.4884107
18,2.4,70,25,-0.51977773
18,2.6,70,25,-0.53246735
18,2.8,70,25,-0.54021705
18,3,70,25,-0.54492986
18,3.2,70,25,-0.54528438
18,3.4,70,25,-0.54045133
20,2,70,25,-0.67267067
20,2.2,70,25,-0.71400296
20,2.4,70,25,-0.76256368
20,2.6,70,25,-0.77725836
20,2.8,70,25,-0.7903242
20,3,70,25,-0.79888994
20,3.2,70,25,-0.7996316
20,3.4,70,25,-0.79499185
4,2,70,30,0.04762402
4,2.2,70,30,0.05572129
4,2.4,70,30,0.06362028
4,2.6,70,30,0.07220662
4,2.8,70,30,0.08165144
4,3,70,30,0.09238764
4,3.2,70,30,0.10285213
4,3.4,70,30,0.11362938
6,2,70,30,0.03941451
6,2.2,70,30,0.04534378
6,2.4,70,30,0.05079301
6,2.6,70,30,0.05836665
6,2.8,70,30,0.06758784
6,3,70,30,0.07676249
6,3.2,70,30,0.08672764
6,3.4,70,30,0.09785628
8,2,70,30,0.02015874
8,2.2,70,30,0.02220958
8,2.4,70,30,0.02451557
8,2.6,70,30,0.03043424
8,2.8,70,30,0.03775782
8,3,70,30,0.0465703
8,3.2,70,30,0.05590869
8,3.4,70,30,0.06561351
10,2,70,30,-0.01429949
10,2.2,70,30,-0.01534462
10,2.4,70,30,-0.01637009
10,2.6,70,30,-0.01264707
10,2.8,70,30,-0.00759834
10,3,70,30,-0.0008098
10,3.2,70,30,0.00686788
10,3.4,70,30,0.0157114
12,2,70,30,-0.06201386
12,2.2,70,30,-0.07171862
12,2.4,70,30,-0.07512214
12,2.6,70,30,-0.07553967
12,2.8,70,30,-0.07247859
12,3,70,30,-0.06737949
12,3.2,70,30,-0.0625887
12,3.4,70,30,-0.05450654
14,2,70,30,-0.13173779
14,2.2,70,30,-0.14284825
14,2.4,70,30,-0.15625522
14,2.6,70,30,-0.15944368
14,2.8,70,30,-0.15844239
14,3,70,30,-0.15666113
14,3.2,70,30,-0.15416569
14,3.4,70,30,-0.1473411
16,2,70,30,-0.22646891
16,2.2,70,30,-0.24523791
16,2.4,70,30,-0.26314526
16,2.6,70,30,-0.27112941
16,2.8,70,30,-0.27426448
16,3,70,30,-0.27406926
16,3.2,70,30,-0.27326915
16,3.4,70,30,-0.26726151
18,2,70,30,-0.34766364
18,2.2,70,30,-0.38252819
18,2.4,70,30,-0.40654342
18,2.6,70,30,-0.42016165
18,2.8,70,30,-0.42287286
18,3,70,30,-0.4268608
18,3.2,70,30,-0.42609946
18,3.4,70,30,-0.42152269
20,2,70,30,-0.52631948
20,2.2,70,30,-0.56404563
20,2.4,70,30,-0.59867328
20,2.6,70,30,-0.60834329
20,2.8,70,30,-0.617432
20,3,70,30,-0.62145278
20,3.2,70,30,-0.62113179
20,3.4,70,30,-0.61786985
4,2,70,35,0.03987203
4,2.2,70,35,0.04608283
4,2.4,70,35,0.05211969
4,2.6,70,35,0.05938354
4,2.8,70,35,0.06834042
4,3,70,35,0.07673566
4,3.2,70,35,0.08523251
4,3.4,70,35,0.09473616
6,2,70,35,0.03405216
6,2.2,70,35,0.03819276
6,2.4,70,35,0.04211797
6,2.6,70,35,0.0488903
6,2.8,70,35,0.05682896
6,3,70,35,0.06466429
6,3.2,70,35,0.07300541
6,3.4,70,35,0.08171994
8,2,70,35,0.01932163
8,2.2,70,35,0.01987656
8,2.4,70,35,0.02200528
