Complexity,Loss,Equation
1,0.017885221,"-0.05737876"
3,0.013387734,"Slant_cell_length * -0.0070060543"
5,0.01001131,"(Slant_cell_length * -0.01748692) + 0.14425412"
7,0.009411479,"(Cell_thickness - (Slant_cell_length + -5.132899)) / Cell_angle"
9,0.008539996,"((Slant_cell_length * -2.5450706) / (Cell_angle - -79.57211)) + 0.15528256"
11,0.007985029,"(Slant_cell_length * ((-93.18063 / (Cell_angle - -604.65076)) - -0.12133303)) - -0.16308124"
13,0.0079721715,"((Slant_cell_length * ((-93.18063 / (Cell_angle - -604.65076)) - -0.12133303)) + -0.0031494976) - -0.16308124"
15,0.0073582507,"Slant_cell_length * (((Slant_cell_length / (Cell_angle + (Vertical_cell_length / (Cell_angle * 0.05095026)))) + -0.12862825) * -0.11733428)"
17,0.0072938167,"(Slant_cell_length * -0.11337864) * ((Slant_cell_length / ((Vertical_cell_length / (Cell_angle * 0.05049234)) + (Cell_angle - 3.0786963))) + -0.1332625)"
19,0.0061549176,"Slant_cell_length * (((Slant_cell_length / ((((Vertical_cell_length + Slant_cell_length) / (Cell_angle * 0.04730608)) + -38.675495) + Cell_angle)) + -0.21917334) * -0.083359696)"
21,0.0046722875,"((((Slant_cell_length / ((Slant_cell_length * ((Vertical_cell_length / (Cell_angle - Slant_cell_length)) + -3.8501096)) + Cell_angle)) * 0.17546645) * Vertical_cell_length) + -2.687245) * -0.031911876"
23,0.00454716,"((Slant_cell_length * (Vertical_cell_length * (0.1706294 / ((((Vertical_cell_length / (Cell_angle - (Slant_cell_length + -1.073187))) + -3.8469255) * Slant_cell_length) + Cell_angle)))) + -2.6876163) * -0.030954625"
25,0.004499462,"((Cell_thickness / -0.9923655) + ((Slant_cell_length * (Vertical_cell_length * 0.1765807)) / ((Slant_cell_length * (-3.858948 + (Vertical_cell_length / (Cell_angle - (Slant_cell_length + -0.9923655))))) + Cell_angle))) * -0.03027821"
27,0.0044780984,"(((Cell_thickness / -0.9923655) + (Slant_cell_length * ((Vertical_cell_length * 0.1765807) / ((Slant_cell_length * (-3.858948 + (Vertical_cell_length / (Cell_angle - (Slant_cell_length + -1.072447))))) + Cell_angle)))) * -0.03027821) * 0.9792889"
