Complexity,Loss,Equation
1,0.017885221,"-0.057378877"
3,0.013387734,"Slant_cell_length * -0.0070060696"
5,0.010011309,"(Slant_cell_length * -0.01749015) - -0.14429756"
7,0.00944055,"(Slant_cell_length + -7.9955964) * (-0.9211532 / Cell_angle)"
9,0.008504952,"((Cell_angle * 0.00086687214) - (Slant_cell_length * 0.0063558617)) / 0.36121404"
13,0.007464724,"(((Cell_angle * Cell_angle) * ((-0.0020788074 / Cell_angle) + 1.9434918e-5)) + 0.041405607) * Slant_cell_length"
15,0.004518947,"((((0.00039431467 / Cell_angle) - 4.168352e-6) * ((Cell_angle * Slant_cell_length) * -2.6812778)) * Cell_angle) + 0.1677473"
17,0.004468537,"(((0.00030651086 / Cell_angle) + -3.2427429e-6) * (((Cell_angle - 1.4157107) * (Slant_cell_length * -3.4559855)) * Cell_angle)) + 0.16639291"
19,0.0044683623,"(((0.00030651086 / Cell_angle) + -3.2427429e-6) * ((Cell_angle - 1.4157107) * (Slant_cell_length * (-3.4559855 * (0.04325803 + Cell_angle))))) + 0.16639291"
21,0.0030916664,"(Cell_angle - Slant_cell_length) * (((((Cell_angle * ((0.0016910352 / Cell_angle) + -1.9645575e-5)) * Slant_cell_length) * (Slant_cell_length * -2.7323828)) + 0.064948626) / Vertical_cell_length)"
23,0.0026947295,"(Cell_angle - Slant_cell_length) * (((((0.002194347 / Cell_angle) + -2.5705072e-5) * ((Slant_cell_length / -0.41380018) * ((Slant_cell_length - Cell_thickness) * Cell_angle))) + 0.057462078) / Vertical_cell_length)"
25,0.0024828473,"((((((Slant_cell_length - Cell_thickness) + -0.8573299) * (Slant_cell_length / -2.565412)) * Cell_angle) * ((0.015900241 / Cell_angle) + -0.00018722664)) + 0.053492904) / (Vertical_cell_length / (Cell_angle - Slant_cell_length))"
29,0.0024605747,"((((Slant_cell_length - ((Vertical_cell_length + Cell_thickness) * -0.0016956661)) * Slant_cell_length) * (Cell_angle * (((0.00011420904 / Cell_angle) + -1.3615372e-6) * (Slant_cell_length / -0.41370952)))) + 0.039463878) * ((Cell_angle - Slant_cell_length) / Vertical_cell_length)"
