Complexity,Loss,Equation
1,0.017885221,"-0.057378877"
3,0.013387734,"Slant_cell_length * -0.0070060696"
5,0.010011309,"(Slant_cell_length * -0.01749015) - -0.14429756"
7,0.008504952,"(Cell_angle * 0.0023999107) - (Slant_cell_length * 0.01759601)"
11,0.007821116,"((Cell_angle * ((-0.030922165 / Cell_angle) + 0.00021136703)) * Slant_cell_length) + 0.15114215"
13,0.004518947,"((Slant_cell_length * Cell_angle) * (((-0.0010573275 / Cell_angle) + 1.1176915e-5) * Cell_angle)) + 0.16776852"
15,0.0043680933,"(((Cell_angle * (((-1.9435876e-5 / Cell_angle) + 2.1622435e-7) * Cell_angle)) * Slant_cell_length) + 0.0023081067) * Cell_angle"
17,0.0042992,"(((-0.0014384858 / Cell_angle) + 1.5331347e-5) * (Slant_cell_length * ((Cell_angle - Cell_thickness) * (Cell_angle * 0.7923625)))) + 0.16826071"
19,0.0036061842,"(((Cell_angle * Cell_angle) + ((-2.2282116 - Cell_angle) / 0.064432524)) * (Slant_cell_length * ((-0.0017203633 / Cell_angle) + 1.9271112e-5))) + 0.15586743"
21,0.0030839096,"((Slant_cell_length * (Slant_cell_length * (((0.012734091 / Cell_angle) + -0.00015184058) * (Cell_angle * -0.4359256)))) * ((Cell_angle - Slant_cell_length) / Vertical_cell_length)) + 0.078320265"
23,0.002463166,"(((((Slant_cell_length * Slant_cell_length) * Cell_angle) * ((((8.341596e-5 / Cell_angle) + -9.94467e-7) / -0.30026838) * Slant_cell_length)) + 0.038721673) * (Cell_angle - Slant_cell_length)) / Vertical_cell_length"
25,0.0023881951,"((((((Slant_cell_length / 1.0647947) * Slant_cell_length) * ((-0.00030883803 / Cell_angle) + 3.6879442e-6)) * Slant_cell_length) * Cell_angle) + 0.040168628) * ((Cell_angle - (Slant_cell_length + 1.2289122)) / Vertical_cell_length)"
29,0.0023629493,"(((((((Slant_cell_length * Slant_cell_length) * Cell_angle) * Slant_cell_length) / -0.41370952) * ((0.00011420904 / Cell_angle) + -1.3615372e-6)) + 0.039463878) * ((Cell_angle - ((Slant_cell_length + 0.88826776) - -0.9488843)) / Vertical_cell_length)) * 1.0881237"
